id,municipality,village,county,state,region,postcode,country,hamlet,road,ISO3166-2-lvl4,elevation
3395,Евстратовское сельское поселение,0,Россошанский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,118
4884,Большеверейское сельское поселение,0,Рамонский район,Воронежская область,Центральный федеральный округ,0,Россия,0,20Н-7-25,RU-VOR,186
3852,Вознесенский сельсовет,0,Дуванский район,Башкортостан,Приволжский федеральный округ,0,Россия,0,0,RU-BA,304
485,Ключевское сельское поселение,Чирково,Бугульминский район,Татарстан,Приволжский федеральный округ,0,Россия,0,Большая Покровка — Акшуат,RU-TA,295
3580,Мукмин-Каратайское сельское поселение,0,Лениногорский район,Татарстан,Приволжский федеральный округ,0,Россия,0,0,RU-TA,199
5810,Балтийский сельсовет,Будённовский,Иглинский район,Башкортостан,Приволжский федеральный округ,0,Россия,0,0,RU-BA,205
30,Шандровский сельсовет,0,Лукояновский район,Нижегородская область,Приволжский федеральный округ,607806,Россия,0,Р-158,RU-NIZ,143
1879,сельское поселение Село Красное,0,Хвастовичский район,Калужская область,Центральный федеральный округ,0,Россия,0,0,RU-KLU,206
2228,Листопадовское сельское поселение,0,Грибановский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,146
4913,сельское поселение Деревня Плоское,0,Юхновский район,Калужская область,Центральный федеральный округ,0,Россия,0,0,RU-KLU,190
3481,Ольшанский сельсовет,0,Задонский район,Липецкая область,Центральный федеральный округ,0,Россия,0,0,RU-LIP,145
4706,Протасовское сельское поселение,Березово,Дубенский район,Тульская область,Центральный федеральный округ,301165,Россия,Востьяново,0,RU-TUL,178
3172,0,0,Белоярский городской округ,Свердловская область,Уральский федеральный округ,0,Россия,0,0,RU-SVE,225
636,0,0,городской округ Новомосковск,Тульская область,Центральный федеральный округ,0,Россия,0,0,RU-TUL,214
4367,Бондаревское сельское поселение,0,Кантемировский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,196
2746,Восточно-Одоевское сельское поселение,Жемчужниково,Одоевский район,Тульская область,Центральный федеральный округ,0,Россия,Ильинское,0,RU-TUL,194
1083,Петровское сельское поселение,0,Павловский район,Воронежская область,Центральный федеральный округ,396880,Россия,0,0,RU-VOR,85
861,Новопостояловское сельское поселение,0,Россошанский район,Воронежская область,Центральный федеральный округ,396604,Россия,0,0,RU-VOR,112
6670,Парижскокоммунское сельское поселение,0,Верхнехавский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,140
903,Отрадинское сельское поселение,0,Мценский район,Орловская область,Центральный федеральный округ,0,Россия,Нарышкино,0,RU-ORL,149
3217,Староисаковское сельское поселение,0,Бугульминский район,Татарстан,Приволжский федеральный округ,423211,Россия,0,Р-239,RU-TA,297
109,Лыковское сельское поселение,0,Подгоренский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,230
6638,Морачевское сельское поселение,Княвичи,Жирятинский район,Брянская область,Центральный федеральный округ,0,Россия,0,0,RU-BRY,192
3605,0,Середа,городской округ Шаховская,Московская область,Центральный федеральный округ,143721,Россия,Максимково,46К-9520,RU-MOS,235
5338,Яблоневское сельское поселение,Каменское,Каменский район,Тульская область,Центральный федеральный округ,0,Россия,0,70К-167,RU-TUL,243
3246,Аксаринское сельское поселение,0,Заинский район,Татарстан,Приволжский федеральный округ,0,Россия,0,16А-0003,RU-TA,78
5793,Ильчинский сельсовет,0,Учалинский район,Башкортостан,Приволжский федеральный округ,0,Россия,0,0,RU-BA,487
5612,Смирновский сельсовет,Смирново,Шатковский район,Нижегородская область,Приволжский федеральный округ,607717,Россия,Алемаево,22К-0068,RU-NIZ,200
3720,Хмелевское сельское поселение,0,Выгоничский район,Брянская область,Центральный федеральный округ,243350,Россия,Алексеевский,0,RU-BRY,183
1831,Трепольское сельское поселение,0,Михайловский район,Рязанская область,Центральный федеральный округ,391701,Россия,Заболотье,0,RU-RYA,193
2549,Костянский сельсовет,Смирново,Шатковский район,Нижегородская область,Приволжский федеральный округ,607411,Россия,0,22К-0068,RU-NIZ,186
782,Верхнекарачанское сельское поселение,0,Грибановский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,106
6740,Бугаевское сельское поселение,0,Кантемировский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,205
3208,Речицкое сельское поселение,Теличье,Ливенский район,Орловская область,Центральный федеральный округ,303844,Россия,0,0,RU-ORL,164
2680,0,Десятуха,Стародубский муниципальный округ,Брянская область,Центральный федеральный округ,243259,Россия,0,15К-2301,RU-BRY,185
2755,Учалинский сельсовет,Учалы,Учалинский район,Башкортостан,Приволжский федеральный округ,0,Россия,0,80К-003,RU-BA,520
1825,Коротоякское сельское поселение,0,Острогожский район,Воронежская область,Центральный федеральный округ,397813,Россия,Успенское,0,RU-VOR,82
1094,Верхнематренский сельсовет,0,Добринский район,Липецкая область,Центральный федеральный округ,0,Россия,0,0,RU-LIP,162
4829,Сабаевский сельсовет,0,Буздякский район,Башкортостан,Приволжский федеральный округ,0,Россия,Тугаево,0,RU-BA,250
2992,Зайцевское сельское поселение,0,Кантемировский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,215
2517,Ромодановское сельское поселение,0,Алексеевский район,Татарстан,Приволжский федеральный округ,0,Россия,0,0,RU-TA,136
4174,Булгаковский сельсовет,Фомичево,Уфимский район,Башкортостан,Приволжский федеральный округ,452156,Россия,0,Звёздная улица,RU-BA,101
2481,0,0,Талицкий городской округ,Свердловская область,Уральский федеральный округ,0,Россия,0,0,RU-SVE,134
2344,Отрадненское сельское поселение,Стаево,Брянский район,Брянская область,Центральный федеральный округ,241515,Россия,0,0,RU-BRY,176
1654,0,0,Суксунский городской округ,Пермский край,Приволжский федеральный округ,617552,Россия,Балаши,0,RU-PER,249
5652,Кушманаковский сельсовет,Кушманаково,Бураевский район,Башкортостан,Приволжский федеральный округ,0,Россия,Каратамак,0,RU-BA,87
5283,Каранский сельсовет,0,Буздякский район,Башкортостан,Приволжский федеральный округ,0,Россия,0,0,RU-BA,227
2273,Юдановское сельское поселение,Юдановка,Бобровский район,Воронежская область,Центральный федеральный округ,397735,Россия,0,«Анна — Бобров» — с. Сухая Берёзовка — Юдановка,RU-VOR,143
5747,Ерышевское сельское поселение,0,Павловский район,Воронежская область,Центральный федеральный округ,396433,Россия,0,0,RU-VOR,105
4907,Михайловское сельское поселение,0,Муслюмовский район,Татарстан,Приволжский федеральный округ,0,Россия,0,0,RU-TA,85
3523,0,0,городской округ Бор,Нижегородская область,Приволжский федеральный округ,606480,Россия,0,0,RU-NIZ,73
4292,Бяковское сельское поселение,0,Навлинский район,Брянская область,Центральный федеральный округ,0,Россия,0,0,RU-BRY,189
3819,Можайское сельское поселение,0,Каширский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,136
2526,Ревякинское сельское поселение,0,Ясногорский район,Тульская область,Центральный федеральный округ,0,Россия,Горчаково,0,RU-TUL,244
4362,Галичинское сельское поселение,Суровцев,Верховский район,Орловская область,Центральный федеральный округ,303620,Россия,Верховье,54К-6,RU-ORL,244
4420,Рождественское сельское поселение,0,Поворинский район,Воронежская область,Центральный федеральный округ,403105,Россия,Поляна,0,RU-VOR,105
1204,Жмуровское сельское поселение,0,Михайловский район,Рязанская область,Центральный федеральный округ,391732,Россия,Раздольное,0,RU-RYA,160
4741,Новобелянское сельское поселение,0,Кантемировский район,Воронежская область,Центральный федеральный округ,396717,Россия,0,0,RU-VOR,172
3455,Арслановский сельсовет,0,Чишминский район,Башкортостан,Приволжский федеральный округ,0,Россия,Ирек,80К-011,RU-BA,207
5318,Восточно-Одоевское сельское поселение,0,Одоевский район,Тульская область,Центральный федеральный округ,0,Россия,0,0,RU-TUL,199
2619,Красноярский сельсовет,0,Уфимский район,Башкортостан,Приволжский федеральный округ,450516,Россия,0,0,RU-BA,89
6863,0,0,Новозыбковский городской округ,Брянская область,Центральный федеральный округ,0,Россия,0,0,RU-BRY,181
1770,Ульяновское сельское поселение,0,Черемшанский район,Татарстан,Приволжский федеральный округ,423115,Россия,Саминовка,улица П.Афанасьева,RU-TA,132
829,городское поселение Ольховатка,0,Ольховатский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,106
3340,Старокуручевский сельсовет,0,Бакалинский район,Башкортостан,Приволжский федеральный округ,0,Россия,0,0,RU-BA,180
4329,Зеленоклиновский сельсовет,0,Альшеевский район,Башкортостан,Приволжский федеральный округ,0,Россия,0,0,RU-BA,270
627,Турдейское сельское поселение,0,Воловский район,Тульская область,Центральный федеральный округ,0,Россия,Медведев,«Дон»,RU-TUL,247
3992,Веребское сельское поселение,0,Брасовский район,Брянская область,Центральный федеральный округ,0,Россия,Фоменок,0,RU-BRY,216
925,Верхнеикорецкое сельское поселение,0,Бобровский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,130
295,Веребское сельское поселение,Веребск,Брасовский район,Брянская область,Центральный федеральный округ,242320,Россия,Чаянка,15К-104,RU-BRY,234
1052,Базгиевский сельсовет,0,Шаранский район,Башкортостан,Приволжский федеральный округ,0,Россия,0,0,RU-BA,256
2404,Староказеевское сельское поселение,0,Камско-Устьинский район,Татарстан,Приволжский федеральный округ,422834,Россия,0,0,RU-TA,73
3424,Старокриушанское сельское поселение,Новотроицкое,Петропавловский район,Воронежская область,Центральный федеральный округ,397692,Россия,Берёзовый,0,RU-VOR,129
2412,Бюрганское сельское поселение,0,Буинский район,Татарстан,Приволжский федеральный округ,422453,Россия,0,0,RU-TA,86
944,Копёнкинское сельское поселение,0,Россошанский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,128
5488,Сосновское сельское поселение,0,Выгоничский район,Брянская область,Центральный федеральный округ,0,Россия,0,0,RU-BRY,185
5723,Аникановское сельское поселение,0,Мценский район,Орловская область,Центральный федеральный округ,303005,Россия,0,Молодёжная улица,RU-ORL,236
12,Коденцовское сельское поселение,0,Каменский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,144
1117,Топовский сельсовет,Загрядчино,Лев-Толстовский район,Липецкая область,Центральный федеральный округ,0,Россия,0,0,RU-LIP,182
5022,Тряпинский сельсовет,0,Аургазинский район,Башкортостан,Приволжский федеральный округ,453484,Россия,0,0,RU-BA,144
4922,Елбулактамакский сельсовет,0,Бижбулякский район,Башкортостан,Приволжский федеральный округ,452056,Россия,0,0,RU-BA,292
6685,Ярищенское сельское поселение,0,Колпнянский район,Орловская область,Центральный федеральный округ,303425,Россия,0,0,RU-ORL,220
1319,0,Марийские Ключики,Красноуфимский округ,Свердловская область,Уральский федеральный округ,0,Россия,0,0,RU-SVE,250
3792,Марковское сельское поселение,0,Каменский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,163
6746,Афанасьевский сельсовет,0,Измалковский район,Липецкая область,Центральный федеральный округ,0,Россия,Лобановка,0,RU-LIP,172
6309,Бондаревское сельское поселение,0,Кантемировский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,123
2698,Гринёвское сельское поселение,0,Погарский район,Брянская область,Центральный федеральный округ,0,Россия,0,0,RU-BRY,154
2799,Котовское сельское поселение,Большое Сотниково,Урицкий район,Орловская область,Центральный федеральный округ,0,Россия,Малое Сотниково,0,RU-ORL,217
6343,Степношенталинское сельское поселение,0,Алексеевский район,Татарстан,Приволжский федеральный округ,0,Россия,Большой Красный Яр,Малый Красный Яр — Большой Красный Яр,RU-TA,80
653,Вяжевское сельское поселение,Вяжи-Заверх,Новосильский район,Орловская область,Центральный федеральный округ,0,Россия,0,0,RU-ORL,215
4467,Симонтовское сельское поселение,0,Мглинский район,Брянская область,Центральный федеральный округ,243229,Россия,Мглинщина,0,RU-BRY,190
3381,Большефроловское сельское поселение,0,Буинский район,Татарстан,Приволжский федеральный округ,422403,Россия,0,0,RU-TA,124
3826,Малотолкишское сельское поселение,Малый Толкиш,Чистопольский район,Татарстан,Приволжский федеральный округ,0,Россия,0,0,RU-TA,130
5444,Суровское сельское поселение,0,Новодеревеньковский район,Орловская область,Центральный федеральный округ,0,Россия,Курдяевка,0,RU-ORL,255
6733,Первомайское сельское поселение,0,Подгоренский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,87
4322,0,0,городской округ Алексин,Тульская область,Центральный федеральный округ,301347,Россия,0,70К-015,RU-TUL,194
2673,Монастырщинское сельское поселение,0,Богучарский район,Воронежская область,Центральный федеральный округ,396772,Россия,0,0,RU-VOR,157
5025,0,0,городской округ Новомосковск,Тульская область,Центральный федеральный округ,0,Россия,0,0,RU-TUL,188
3706,Татарско-Толкишское сельское поселение,0,Чистопольский район,Татарстан,Приволжский федеральный округ,422961,Россия,Кзыл-Болгар,0,RU-TA,134
4782,0,0,Стародубский муниципальный округ,Брянская область,Центральный федеральный округ,0,Россия,Галенск,0,RU-BRY,161
570,0,0,городской округ Бор,Нижегородская область,Приволжский федеральный округ,606472,Россия,Запрудное,22Н-0744,RU-NIZ,85
1448,Алейниковское сельское поселение,0,Россошанский район,Воронежская область,Центральный федеральный округ,396658,Россия,Молодёжный,Россошь — Нижний Карабут,RU-VOR,169
4772,Демский сельсовет,0,Бижбулякский район,Башкортостан,Приволжский федеральный округ,452059,Россия,0,0,RU-BA,203
3258,Евдаковское сельское поселение,0,Каменский район,Воронежская область,Центральный федеральный округ,396512,Россия,0,0,RU-VOR,213
1745,городское поселение Калач,0,Калачеевский район,Воронежская область,Центральный федеральный округ,0,Россия,Крутой,0,RU-VOR,189
3305,Воронцовское сельское поселение,0,Павловский район,Воронежская область,Центральный федеральный округ,397525,Россия,0,0,RU-VOR,86
287,Прудовский сельсовет,Пруды,Краснобаковский район,Нижегородская область,Приволжский федеральный округ,606707,Россия,0,Привокзальная улица,RU-NIZ,130
1738,Смотровобудское сельское поселение,Павличи,Клинцовский район,Брянская область,Центральный федеральный округ,0,Россия,0,А-240,RU-BRY,184
4306,Смотровобудское сельское поселение,Павличи,Клинцовский район,Брянская область,Центральный федеральный округ,0,Россия,0,0,RU-BRY,193
6817,Таймасовский сельсовет,Ялчикаево,Куюргазинский район,Башкортостан,Приволжский федеральный округ,0,Россия,Таймасово,улица Хурмата Хусаинова,RU-BA,256
4685,Сарлинское сельское поселение,0,Азнакаевский район,Татарстан,Приволжский федеральный округ,0,Россия,0,0,RU-TA,120
4101,Песковское сельское поселение,0,Петропавловский район,Воронежская область,Центральный федеральный округ,397692,Россия,0,0,RU-VOR,163
5650,Селенгушское сельское поселение,Селенгуши,Нурлатский район,Татарстан,Приволжский федеральный округ,423025,Россия,Зузеево,Билярский тракт,RU-TA,169
6474,Среднекорсинское сельское поселение,Нижняя Корса,Арский район,Татарстан,Приволжский федеральный округ,422024,Россия,0,16К-0428,RU-TA,176
1684,Языковский сельсовет,0,Благоварский район,Башкортостан,Приволжский федеральный округ,0,Россия,0,0,RU-BA,195
5312,Восточно-Одоевское сельское поселение,0,Одоевский район,Тульская область,Центральный федеральный округ,0,Россия,0,0,RU-TUL,205
1338,Землянское сельское поселение,0,Семилукский район,Воронежская область,Центральный федеральный округ,0,Россия,Малая Покровка,Молодёжная улица,RU-VOR,215
2840,Краснокадкинское сельское поселение,Нижние Челны,Нижнекамский район,Татарстан,Приволжский федеральный округ,423518,Россия,0,0,RU-TA,68
5663,Октябрьское городское поселение,0,Михайловский район,Рязанская область,Центральный федеральный округ,391726,Россия,0,61Н-299,RU-RYA,196
2948,Воробейнское сельское поселение,Буда,Жирятинский район,Брянская область,Центральный федеральный округ,0,Россия,0,0,RU-BRY,183
5761,Марковское сельское поселение,0,Каменский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,165
3857,Татаринское сельское поселение,0,Каменский район,Воронежская область,Центральный федеральный округ,396503,Россия,0,0,RU-VOR,205
4165,Новопостояловское сельское поселение,0,Россошанский район,Воронежская область,Центральный федеральный округ,396604,Россия,Высокая Дача,20К-В38-0,RU-VOR,206
5962,Новотроицкий сельсовет,0,Чишминский район,Башкортостан,Приволжский федеральный округ,452163,Россия,0,0,RU-BA,225
2407,Абзановский сельсовет,0,Зианчуринский район,Башкортостан,Приволжский федеральный округ,0,Россия,0,0,RU-BA,291
6408,Александровское сельское поселение,0,Таловский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,147
1564,Борковское сельское поселение,0,Шацкий район,Рязанская область,Центральный федеральный округ,391568,Россия,0,А143,RU-RYA,155
5265,Карача-Елгинский сельсовет,0,Кушнаренковский район,Башкортостан,Приволжский федеральный округ,0,Россия,Толбазы,0,RU-BA,146
6135,Марковское сельское поселение,0,Каменский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,183
6080,Гавриловское сельское поселение,Гавриловское,Сасовский район,Рязанская область,Центральный федеральный округ,391445,Россия,0,0,RU-RYA,128
2185,Гниловское сельское поселение,0,Острогожский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,90
2881,0,0,Каменский городской округ,Свердловская область,Уральский федеральный округ,0,Россия,0,0,RU-SVE,146
1231,Крапивенское сельское поселение,Даниловка,Щёкинский район,Тульская область,Центральный федеральный округ,0,Россия,0,0,RU-TUL,207
4325,Каргашинское сельское поселение,0,Сасовский район,Рязанская область,Центральный федеральный округ,391447,Россия,0,61Н-535,RU-RYA,136
1258,Базгиевский сельсовет,Базгиево,Шаранский район,Башкортостан,Приволжский федеральный округ,0,Россия,Новый Тамьян,Наратасты — Базгиево — Кандры,RU-BA,246
1951,Нижнекарачанское сельское поселение,0,Грибановский район,Воронежская область,Центральный федеральный округ,397220,Россия,0,«Курск — Борисоглебск» — Новохопёрск,RU-VOR,160
6411,Николо-Погостинский сельсовет,0,Городецкий район,Нижегородская область,Приволжский федеральный округ,606514,Россия,0,22Н-1918,RU-NIZ,82
113,Пузевское сельское поселение,0,Бутурлиновский район,Воронежская область,Центральный федеральный округ,397527,Россия,0,0,RU-VOR,117
6479,Лакомобудское сельское поселение,Лакомая Буда,Климовский район,Брянская область,Центральный федеральный округ,243062,Россия,Лужки,15Н-1228,RU-BRY,168
5245,Восточно-Одоевское сельское поселение,Ботвиньево,Одоевский район,Тульская область,Центральный федеральный округ,301440,Россия,Холохольня,70К-306,RU-TUL,236
2533,Турдейское сельское поселение,0,Воловский район,Тульская область,Центральный федеральный округ,0,Россия,0,0,RU-TUL,233
507,Мамоновское сельское поселение,Гаврильск,Верхнемамонский район,Воронежская область,Центральный федеральный округ,397623,Россия,0,Павловск — Калач — Петропавловка,RU-VOR,217
3408,Козловское сельское поселение,0,Бутурлиновский район,Воронежская область,Центральный федеральный округ,397531,Россия,0,0,RU-VOR,171
3038,Юлдыбаевский сельсовет,0,Кугарчинский район,Башкортостан,Приволжский федеральный округ,0,Россия,0,0,RU-BA,342
2623,Альмухаметовский сельсовет,0,Абзелиловский район,Башкортостан,Приволжский федеральный округ,453605,Россия,0,0,RU-BA,337
2423,Большекульгинское сельское поселение,0,Рыбно-Слободский район,Татарстан,Приволжский федеральный округ,0,Россия,Малая Кульга,0,RU-TA,91
5282,Дедовский сельсовет,0,Фёдоровский район,Башкортостан,Приволжский федеральный округ,0,Россия,0,0,RU-BA,359
3941,Истобинское сельское поселение,0,Репьёвский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,234
350,Пречистенский сельсовет,0,Измалковский район,Липецкая область,Центральный федеральный округ,0,Россия,0,0,RU-LIP,218
4034,Гущинское сельское поселение,0,Почепский район,Брянская область,Центральный федеральный округ,0,Россия,0,0,RU-BRY,166
3405,Большефедоровское сельское поселение,0,Бугульминский район,Татарстан,Приволжский федеральный округ,0,Россия,Алкино,0,RU-TA,221
3613,Волчье-Дубравское сельское поселение,0,Тёпло-Огарёвский район,Тульская область,Центральный федеральный округ,0,Россия,Пыжово 1-е,0,RU-TUL,209
1114,Подгоренское сельское поселение,0,Калачеевский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,211
6013,0,0,Борисоглебский городской округ,Воронежская область,Центральный федеральный округ,397143,Россия,0,0,RU-VOR,134
298,Судбищенское сельское поселение,Судбище,Новодеревеньковский район,Орловская область,Центральный федеральный округ,0,Россия,Агибалово,0,RU-ORL,246
5384,Чичковское сельское поселение,0,Навлинский район,Брянская область,Центральный федеральный округ,242522,Россия,Бутрё,0,RU-BRY,189
5476,Евдаковское сельское поселение,0,Каменский район,Воронежская область,Центральный федеральный округ,396515,Россия,Ясеново,20Н-7-11,RU-VOR,218
4957,Гвазденское сельское поселение,0,Бутурлиновский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,207
5255,Крым-Сарайское сельское поселение,0,Бавлинский район,Татарстан,Приволжский федеральный округ,0,Россия,0,Р-239,RU-TA,213
5633,0,0,городской округ Новомосковск,Тульская область,Центральный федеральный округ,0,Россия,0,0,RU-TUL,218
6475,Алгинский сельсовет,0,Давлекановский район,Башкортостан,Приволжский федеральный округ,0,Россия,0,0,RU-BA,227
229,Добровольское сельское поселение,Октябрьский,Поворинский район,Воронежская область,Центральный федеральный округ,0,Россия,0,Садовая улица,RU-VOR,160
5341,0,Губари,Борисоглебский городской округ,Воронежская область,Центральный федеральный округ,397143,Россия,Селома,Третьяки — Губари,RU-VOR,143
2764,0,Торговище,Суксунский городской округ,Пермский край,Приволжский федеральный округ,617554,Россия,0,0,RU-PER,232
4776,Гришевское сельское поселение,0,Подгоренский район,Воронежская область,Центральный федеральный округ,0,Россия,Терновое,Молодёжная улица,RU-VOR,215
3105,Шингак-Кульский сельсовет,0,Чишминский район,Башкортостан,Приволжский федеральный округ,0,Россия,0,0,RU-BA,113
5542,Орменское сельское поселение,0,Выгоничский район,Брянская область,Центральный федеральный округ,0,Россия,0,0,RU-BRY,189
2103,0,0,0,Нижегородская область,Приволжский федеральный округ,606058,Россия,Володарский район,22Н-1409,RU-NIZ,84
5427,Буравцовское сельское поселение,0,Эртильский район,Воронежская область,Центральный федеральный округ,0,Россия,Малореченский 1-й,0,RU-VOR,165
2574,Бондаревское сельское поселение,0,Кантемировский район,Воронежская область,Центральный федеральный округ,0,Россия,0,0,RU-VOR,187
2457,сельское поселение Деревня Гачки,0,Мосальский район,Калужская область,Центральный федеральный округ,0,Россия,Гришинское,0,RU-KLU,195
4987,Боевское сельское поселение,0,Каширский район,Воронежская область,Центральный федеральный округ,396346,Россия,0,0,RU-VOR,140
1614,Енгалышевский сельсовет,0,Чишминский район,Башкортостан,Приволжский федеральный округ,452156,Россия,0,0,RU-BA,129
607,Подгоренское городское поселение,0,Подгоренский район,Воронежская область,Центральный федеральный округ,396560,Россия,0,20Н-5-24,RU-VOR,195
2865,Придорожное сельское поселение,Салтыково,Сасовский район,Рязанская область,Центральный федеральный округ,391463,Россия,0,Центральная улица,RU-RYA,161
1093,Плавенское сельское поселение,0,Климовский район,Брянская область,Центральный федеральный округ,243070,Россия,Пруска,15Н-1226,RU-BRY,149
5587,Верхнехавское сельское поселение,0,Верхнехавский район,Воронежская область,Центральный федеральный округ,396105,Россия,Богословка,0,RU-VOR,155
6780,Борковское сельское поселение,0,Шацкий район,Рязанская область,Центральный федеральный округ,391586,Россия,0,0,RU-RYA,94
